Año,Trimestre ,Población en edad de trabajar (Total),Fuerza de trabajo (Total),Ocupados (Total),Desocupados (Total),Desocupados (Cesantes),Desocupados (Buscan trabajo por primera vez),Fuera de la fuerza de trabajo (Total),Fuera de la fuerza de trabajo (Iniciadores),Fuera de la fuerza de trabajo (Inactivos potencialmente activos),Fuera de la fuerza de trabajo (Inactivos habituales),Tasa de desocupación,Tasa de ocupación ,Tasa de participación
,,en miles,en miles,en miles,en miles,en miles,en miles,en miles,en miles,en miles,en miles,tasa (%),tasa (%),tasa (%)
2010,Ene - Mar,6440.269001,4764.961629,4382.552881,382.4087471,345.2687558,37.13999129,1675.307373,42.39853501,362.6184976,1270.29034,8.025431827,68.04922094,73.98699694
2010,Feb - Abr,6449.076001,4763.276692,4403.560262,359.7164303,330.6101979,29.10623246,1685.799309,35.57516057,312.5976536,1337.626494,7.551869303,68.28203391,73.85983188
2010,Mar - May,6457.561,4766.810917,4398.206092,368.6048248,338.651346,29.95347883,1690.750083,25.41686845,308.6052044,1356.72801,7.732734343,68.10940062,73.81751279
2010,Abr - Jun,6466.16,4774.253252,4416.487199,357.7660533,324.4205699,33.34548341,1691.906748,24.16762833,307.7229661,1360.016154,7.493654702,68.30154526,73.8344435
2010,May -Jul,6474.657,4771.353745,4412.860753,358.492992,326.4594998,32.03349219,1703.303255,23.47455383,324.1300282,1355.698673,7.513444007,68.15590004,73.69276465
2010,Jun - Ago,6483.312,4779.674811,4418.307882,361.3669292,328.9865684,32.38036086,1703.637189,21.32377908,320.1661165,1362.147294,7.560491949,68.14893193,73.72273324
2010,Jul - Sep,6491.791,4829.544057,4476.459052,353.0850043,326.3651442,26.71986013,1662.246943,22.26628108,305.6510776,1334.329585,7.310938677,68.95568653,74.39463249
2010,Ago - Oct,6500.546,4826.991783,4490.711917,336.2798653,306.8900676,29.38979768,1673.554217,29.34166433,282.800996,1361.411557,6.966655019,69.08207276,74.2551746
2010,Sep - Nov,6509.021,4834.218993,4529.957463,304.2615291,273.8588138,30.40271529,1674.802008,33.76203854,269.0627526,1371.977216,6.293912825,69.59506604,74.26952521
2010,Oct - Dic,6517.842,4862.541362,4560.346548,302.1948145,263.9092008,38.28561368,1655.300638,35.1130482,266.0368553,1354.150734,6.214750518,69.96712329,74.60354765
