Año,Trimestre ,Población en edad de trabajar (Total),Fuerza de trabajo (Total),Ocupados (Total),Desocupados (Total),Desocupados (Cesantes),Desocupados (Buscan trabajo por primera vez),Fuera de la fuerza de trabajo (Total),Fuera de la fuerza de trabajo (Iniciadores),Fuera de la fuerza de trabajo (Inactivos potencialmente activos),Fuera de la fuerza de trabajo (Inactivos habituales),Tasa de desocupación,Tasa de ocupación ,Tasa de participación
,,en miles,en miles,en miles,en miles,en miles,en miles,en miles,en miles,en miles,en miles,tasa (%),tasa (%),tasa (%)
2010,Ene - Mar,6777.95,3118.724848,2773.658695,345.0661536,289.0521734,56.01398015,3659.225152,50.75313994,713.0419766,2895.430035,11.06433464,40.92179339,46.01280399
2010,Feb - Abr,6786.752,3133.241297,2795.217125,338.0241711,283.5522226,54.47194846,3653.510703,41.3981286,669.8079993,2942.304576,10.78832235,41.18637495,46.16702211
2010,Mar - May,6795.284,3133.006066,2783.696796,349.3092704,301.9151426,47.39412782,3662.277934,25.11195583,670.1541891,2967.011789,11.14933272,40.9651281,46.1055942
2010,Abr - Jun,6804.076,3131.663457,2805.0883,326.5751569,283.4783519,43.09680508,3672.412543,18.78314032,682.2893491,2971.340053,10.42816897,41.22658683,46.02628568
2010,May -Jul,6812.747,3160.233496,2843.654923,316.5785729,279.5296776,37.04889532,3652.513504,17.61688791,693.3511744,2941.545442,10.01756906,41.74021027,46.38706671
2010,Jun - Ago,6821.66,3181.142952,2870.913399,310.2295528,269.3209612,40.90859151,3640.517048,18.93877223,695.4065,2926.171776,9.75214121,42.08526076,46.63297426
2010,Jul - Sep,6830.387,3213.374478,2913.007041,300.3674369,257.5756099,42.79182704,3617.012522,21.4312078,669.1192642,2926.46205,9.347414655,42.6477598,47.04527691
2010,Ago - Oct,6839.323,3215.971388,2923.718075,292.2533129,246.2782387,45.97507422,3623.351612,24.59988196,622.7638186,2975.987911,9.087559484,42.74864742,47.02177962
2010,Sep - Nov,6847.934,3253.192843,2973.134788,280.058055,235.4061425,44.65191256,3594.741157,24.41964327,588.0087154,2982.312798,8.60871361,43.41652224,47.50619447
2010,Oct - Dic,6856.975,3298.174523,3011.971204,286.2033191,234.9311062,51.27221294,3558.800477,24.59415979,578.1090901,2956.097227,8.677628098,43.92565532,48.09955589
2010,Nov - Ene,6865.543,3318.274785,3017.511773,300.7630117,245.3483362,55.41467548,3547.268215,30.26633001,614.542697,2902.459188,9.063836818,43.95153848,48.33229921
2011,Dic - Feb,6874.524,3296.291212,2998.763512,297.5277003,243.2006183,54.327082,3578.232788,38.02290972,622.9279434,2917.281935,9.026135167,43.62139854,47.94937384
2011,Ene - Mar,6883.257,3316.693041,3011.518836,305.1742046,261.0271589,44.14704578,3566.563959,34.87818901,599.6189806,2932.06679,9.201159134,43.75136416,48.18493688
2011,Feb - Abr,6892.101,3333.009259,3036.109002,296.9002572,263.1329821,33.76727513,3559.091741,26.93151857,565.8752272,2966.284995,8.907873761,44.05200971,48.35984352
2011,Mar - May,6900.738,3379.513851,3068.268237,311.2456137,271.3057148,39.93989896,3521.224149,20.22874474,566.1310567,2934.864348,9.209774762,44.46290001,48.9732236
2011,Abr - Jun,6909.668,3386.364952,3084.300589,302.0643627,259.6089248,42.45543793,3523.303048,16.24116021,583.1165128,2923.945375,8.920017984,44.63746433,49.00908339
2011,May -Jul,6918.34,3376.669796,3072.051371,304.6184243,256.4100567,48.20836754,3541.670204,16.80128692,601.1231919,2923.745726,9.021267779,44.40445788,48.80751446
2011,Jun - Ago,6927.189,3371.635448,3078.357313,293.2781345,251.7609576,41.51717694,3555.553552,17.16239395,606.3771442,2932.014014,8.698393971,44.43876605,48.67249108
2011,Jul - Sep,6935.806,3388.203522,3084.312275,303.8912465,264.8141026,39.07714385,3547.602478,19.49440968,633.3246979,2894.78337,8.969096588,44.46941387,48.85089811
2011,Ago - Oct,6944.621,3407.430445,3102.921785,304.5086603,269.4788718,35.02978843,3537.190555,21.52223791,634.8996841,2880.768633,8.936606783,44.68093773,49.06575096
2011,Sep - Nov,6953.157,3415.755018,3105.655396,310.0996218,264.7925201,45.30710169,3537.401982,21.98494893,620.5881912,2894.828842,9.078508856,44.66540014,49.12523934
2011,Oct - Dic,6961.989,3433.830731,3145.158909,288.6718216,234.526287,54.14553462,3528.158269,26.99968153,605.9650745,2895.193513,8.406699231,45.17615453,49.32255324
2011,Nov - Ene,6970.618,3421.683506,3139.874156,281.8093498,220.4273607,61.38198915,3548.934494,29.51869695,624.3683103,2895.047487,8.235985279,45.0444158,49.0872331
2012,Dic - Feb,6979.322,3426.994713,3154.754132,272.2405811,214.027031,58.21355005,3552.327287,30.94810748,620.9677978,2900.411382,7.944003533,45.20144123,49.10211498
2012,Ene - Mar,6987.893,3428.158012,3125.22263,302.9353825,253.3434993,49.59188324,3559.734988,27.08201406,593.9567375,2938.696236,8.836680848,44.72338987,49.05853613
2012,Feb - Abr,6996.654,3442.225251,3142.249776,299.9754758,258.9430289,41.03244689,3554.428749,22.51254664,566.1926052,2965.723597,8.714580072,44.91074985,49.19816317
2012,Mar - May,7005.352,3445.092013,3142.996594,302.0954193,268.5144151,33.58100414,3560.259987,16.29237293,551.4753138,2992.4923,8.768863592,44.86564835,49.17800009
2012,Abr - Jun,7014.089,3427.673329,3157.508231,270.1650978,239.7961854,30.36891243,3586.415671,16.43860494,576.561749,2993.415317,7.881879978,45.01665478,48.86840371
2012,May -Jul,7022.679,3429.084513,3157.078339,272.006174,243.505714,28.50046004,3593.594487,20.76130472,579.1967827,2993.6364,7.932326339,44.95546982,48.82872352
2012,Jun - Ago,7030.894,3419.885101,3153.176401,266.7086999,241.2556723,25.45302761,3611.008899,22.75756786,592.1915893,2996.059742,7.798762006,44.84744615,48.64082861
2012,Jul - Sep,7038.736,3461.758609,3181.904409,279.8541995,251.5735583,28.28064115,3576.977391,20.44651153,582.0469662,2974.483913,8.084162736,45.20562228,49.18153783
2012,Ago - Oct,7046.782,3476.336501,3197.542131,278.7943699,247.4099597,31.38441021,3570.445499,14.95528823,577.8818626,2977.608348,8.019775123,45.37591955,49.3322555
2012,Sep - Nov,7054.684,3480.69245,3211.866299,268.8261512,234.5758999,34.25025125,3573.99155,19.09136641,559.9239791,2994.976204,7.72335261,45.52813845,49.33874359
2012,Oct - Dic,7062.721,3480.617555,3220.217937,260.3996182,220.5091566,39.89046163,3582.103445,21.0183038,548.4496693,3012.635472,7.481420009,45.59457944,49.28153831
2012,Nov - Ene,7070.469,3490.280208,3226.358549,263.9216587,215.1111965,48.81046219,3580.188792,30.48645252,545.3016635,3004.400676,7.561618065,45.63146446,49.36419646
2013,Dic - Feb,7078.455,3494.598501,3224.142265,270.4562358,221.9744939,48.48174193,3583.856499,34.17700257,559.9846784,2989.694818,7.739264919,45.54867221,49.36950932
2013,Ene - Mar,7086.349,3505.933272,3232.714794,273.2184785,225.1856613,48.03281714,3580.415728,35.46170617,556.4463981,2988.507623,7.793031333,45.61890466,49.47446524
2013,Feb - Abr,7094.332,3536.476315,3253.30889,283.1674241,242.6084254,40.55899871,3557.855686,31.34737976,530.1962012,2996.312105,8.007049925,45.85786076,49.84932076
2013,Mar - May,7102.209,3542.149223,3266.450648,275.6985753,233.2174101,42.48116522,3560.059777,25.48129788,521.9668778,3012.611601,7.783369868,45.9920378,49.87390857
2013,Abr - Jun,7110.204001,3522.349933,3269.047553,253.3023793,220.8765326,32.4258467,3587.854068,25.30063807,518.2167781,3044.336652,7.191289456,45.97684614,49.53936529
2013,May -Jul,7118.008,3484.542716,3261.566435,222.9762808,195.5235015,27.45277922,3633.465285,22.57626285,539.2232996,3071.665722,6.399011261,45.82133702,48.95390277
2013,Jun - Ago,7126.05,3501.507743,3271.1177,230.3900424,207.9309716,22.45907086,3624.542257,17.93757187,555.0831826,3051.521503,6.579738197,45.90365911,49.13672712
2013,Jul - Sep,7133.877,3502.784687,3271.619726,231.1649609,209.8699806,21.29498032,3631.092313,17.54769485,570.2641747,3043.280443,6.599462473,45.86033269,49.10071602
2013,Ago - Oct,7141.848,3532.855353,3289.067538,243.7878145,218.2848765,25.50293795,3608.992647,18.25917206,559.8449437,3030.888531,6.900588621,46.05345197,49.46696363
2013,Sep - Nov,7149.813,3553.039274,3317.586385,235.4528889,205.008829,30.44405992,3596.773726,19.77413061,544.161023,3032.838573,6.626802316,46.40102314,49.69415667
2013,Oct - Dic,7157.901,3589.098036,3351.304246,237.7937895,201.2815359,36.51225362,3568.802964,21.81781677,532.5682357,3014.416912,6.625447039,46.81965071,50.14176692
2013,Nov - Ene,7165.765,3603.73644,3344.952012,258.7844272,207.9624254,50.8220018,3562.02856,22.35988873,532.1540475,3007.514624,7.181003148,46.67962196,50.29102182
2014,Dic - Feb,7173.777,3610.93344,3358.174531,252.7589088,203.9531538,48.80575494,3562.84356,27.2590392,550.4047033,2985.179818,6.999821874,46.81180543,50.33517825
2014,Ene - Mar,7181.598,3606.449812,3345.558401,260.891411,213.4510572,47.44035387,3575.148188,29.336669,531.7574539,3014.054065,7.23402306,46.58515279,50.21792938
2014,Feb - Abr,7189.596,3613.977983,3377.123139,236.8548439,204.9654261,31.88941781,3575.618017,27.09264874,511.1794945,3037.345874,6.553854091,46.97236311,50.26677414
2014,Mar - May,7197.502,3616.258732,3367.508486,248.7502466,218.2880717,30.46217488,3581.243268,22.18593008,493.1024851,3065.954853,6.878662867,46.78718374,50.24324734
2014,Abr - Jun,7205.503,3599.673444,3350.763544,248.9098998,222.9279919,25.98190795,3605.829556,15.94093198,510.7706733,3079.117951,6.914791126,46.50284017,49.95728187
