"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.829536900E-2,-2.677977085E-3,3.903484344E-2,8.003234863E-3,3.993672911E-2
2.629097500E-2,5.969893932E-2,8.815097809E-2,-1.603257656E-1,1.924549542E-1
3.428658000E-2,5.843281746E-3,-1.106195450E-1,-5.193775892E-1,5.310592320E-1
4.228218500E-2,1.018621325E-1,-5.968666077E-2,-2.942732573E-1,3.170727700E-1
5.021675600E-2,3.401805162E-1,2.610683441E-2,-1.243637323E0,1.289588362E0
5.821236100E-2,6.486017108E-1,2.681016922E-1,-1.778733015E0,1.912185617E0
6.620796700E-2,6.993489265E-1,3.437623978E-1,-1.302474022E0,1.517794480E0
7.417305500E-2,7.798573971E-1,3.746719360E-1,-1.091645122E0,1.392927023E0
8.219917800E-2,5.105913877E-1,2.848052979E-1,-6.941609383E-1,9.075665436E-1
9.016426600E-2,-3.424903750E-2,-1.490850449E-1,-9.355413318E-1,9.479646252E-1
9.812935300E-2,-8.967866004E-2,-7.519598007E-1,-1.313995123E0,1.516597833E0
1.061249590E-1,-9.332300723E-2,-8.991308212E-1,-1.360048652E0,1.633057792E0
1.140900470E-1,-1.071734130E-1,-7.414588928E-1,-1.001466751E0,1.250673052E0
1.221161700E-1,-1.218760312E-1,-4.886150360E-1,-3.771689236E-1,6.291699431E-1
1.300812580E-1,-1.202653944E-1,-4.502086639E-1,-1.578842998E-1,4.920153029E-1
1.380768630E-1,-1.852293313E-1,-3.607921600E-1,-6.087391078E-2,4.101054997E-1
1.460419510E-1,-1.855348349E-1,-3.220872879E-1,-2.460810095E-1,4.457793840E-1
1.540070390E-1,-1.138031781E-1,-2.312555313E-1,-4.167472124E-1,4.900086970E-1
1.620331620E-1,-5.415874720E-2,-1.331052780E-1,-3.042656779E-1,3.364933695E-1
1.699982500E-1,-4.243892431E-2,-6.817531586E-2,-1.172479242E-3,8.031382631E-2
1.780243730E-1,2.523308992E-2,4.495906830E-2,5.180532932E-1,5.206123714E-1
1.860199780E-1,2.311491966E-2,1.314373016E-1,8.931034803E-1,9.030193189E-1
1.940155840E-1,1.468071342E-2,1.940135956E-1,9.768909216E-1,9.960786471E-1
2.020417070E-1,2.898782492E-3,2.503681183E-1,8.306291103E-1,8.675467230E-1
2.100067950E-1,3.126323223E-3,2.526397705E-1,5.429541469E-1,5.988621153E-1
2.180024000E-1,-2.837419510E-3,2.483081818E-1,3.052797318E-1,3.935234665E-1
2.260285230E-1,-1.826980710E-2,2.309541702E-1,1.820681691E-1,2.946564657E-1
2.339936110E-1,4.962354898E-2,2.336082458E-1,7.787030935E-2,2.511953308E-1
2.419892170E-1,6.238615513E-2,3.012380600E-1,1.117559671E-1,3.273007750E-1
2.499848220E-1,5.284866691E-2,3.045148849E-1,1.358035803E-1,3.375868913E-1
2.579499100E-1,4.483720660E-2,2.509050369E-1,1.751256585E-1,3.092453863E-1
2.659760330E-1,5.063480139E-2,1.968107224E-1,1.277105808E-1,2.400173660E-1
2.739411210E-1,3.315511346E-2,1.219787598E-1,-2.736014128E-2,1.293315766E-1
2.819367260E-1,5.367693305E-2,9.062576294E-2,-1.956036687E-1,2.221599362E-1
2.899018140E-1,1.509799659E-1,5.064487457E-2,-5.483760834E-1,5.710308067E-1
2.978669020E-1,7.521978021E-2,5.917930603E-2,-5.923236012E-1,6.000062118E-1
3.058930250E-1,9.641849995E-2,6.376075745E-2,-5.647976995E-1,5.765053362E-1
3.138581130E-1,1.098895222E-1,1.015758514E-2,-6.433672309E-1,6.527635693E-1
3.218537190E-1,1.353086382E-1,-9.399414062E-3,-6.523649693E-1,6.663158633E-1
3.298188070E-1,1.199761927E-1,4.823970795E-2,-5.697249174E-1,5.842155747E-1
3.377838940E-1,1.144898832E-1,5.618190765E-2,-7.487463951E-1,7.595297916E-1
3.457795000E-1,1.234030873E-1,6.644916534E-2,-9.513175488E-1,9.615866534E-1
3.537751050E-1,1.006377339E-1,1.565332413E-1,-8.452777863E-1,8.655201587E-1
3.617401930E-1,7.593011856E-2,1.780595779E-1,-8.362374306E-1,8.583493674E-1
3.697357990E-1,8.637611568E-2,2.242746353E-1,-6.584042311E-1,7.008966235E-1
3.777314040E-1,7.500410080E-2,2.993354797E-1,-4.688365757E-1,5.612798583E-1
3.856964920E-1,9.570129216E-2,3.051023483E-1,-4.628597498E-1,5.625702874E-1
3.936920980E-1,9.287145734E-2,4.019241333E-1,-3.314798474E-1,5.291946766E-1
4.017182210E-1,5.452449620E-2,3.958358765E-1,-4.073281586E-1,5.705919651E-1
4.096833090E-1,4.811228812E-2,4.615821838E-1,-3.313227594E-1,5.702172179E-1
4.176789140E-1,4.196152091E-2,5.105018616E-1,-1.591877043E-1,5.363894528E-1
4.256745190E-1,1.707403362E-2,5.498266220E-1,-2.066597342E-2,5.504797175E-1
4.336701250E-1,-2.412658930E-2,6.106281281E-1,2.438060194E-1,6.579439020E-1
4.416962480E-1,-3.149375319E-2,6.451139450E-1,4.357121587E-1,7.791077870E-1
4.496613360E-1,-3.146788478E-2,6.533145905E-1,5.870850086E-1,8.789078389E-1
4.576569410E-1,-2.627456188E-2,6.735868454E-1,6.556134224E-1,9.403395932E-1
4.656525470E-1,-3.289088607E-2,6.532831192E-1,7.686637640E-1,1.009308985E0
4.736481520E-1,-3.746873140E-2,6.816434860E-1,8.413435221E-1,1.083466968E0
4.816742750E-1,-4.926118255E-2,6.529579163E-1,9.216887951E-1,1.130615292E0
4.896393630E-1,-8.036154509E-2,6.631307602E-1,8.993050456E-1,1.120245486E0
4.976654860E-1,-8.817511797E-2,6.593236923E-1,8.936268091E-1,1.114024891E0
5.056305740E-1,-9.490105510E-2,6.248102188E-1,7.883380055E-1,1.010381527E0
5.135956620E-1,-1.132724583E-1,5.950269699E-1,8.108628392E-1,1.012119701E0
5.215912680E-1,-1.153033674E-1,5.679378510E-1,8.557929993E-1,1.033552092E0
5.295868730E-1,-1.104733050E-1,5.579719543E-1,8.971831799E-1,1.062296903E0
5.375519610E-1,-1.278103888E-1,5.220775604E-1,9.613407850E-1,1.101397557E0
5.455475660E-1,-1.573632360E-1,5.106086731E-1,9.836452007E-1,1.119393714E0
5.535431720E-1,-1.752152741E-1,4.709339142E-1,9.780746102E-1,1.099594965E0
5.615387770E-1,-1.694239676E-1,4.582138062E-1,9.571406841E-1,1.074608144E0
5.695038650E-1,-1.855250299E-1,4.581289291E-1,9.179980755E-1,1.042603529E0
5.774994710E-1,-1.730170250E-1,4.370641708E-1,8.847720027E-1,1.001888954E0
5.854645590E-1,-1.825485229E-1,4.430894852E-1,8.619008660E-1,9.861670031E-1
5.934296460E-1,-1.851299107E-1,4.520750046E-1,8.560366035E-1,9.856183643E-1
6.014557690E-1,-2.022010386E-1,4.257497787E-1,8.195959330E-1,9.454552488E-1
6.094208570E-1,-1.907105148E-1,4.527568817E-1,7.888931036E-1,9.293608682E-1
6.174164630E-1,-1.837976277E-1,4.514884949E-1,6.852073073E-1,8.409116975E-1
6.254120680E-1,-1.438665986E-1,4.600477219E-1,3.656986952E-1,6.050430069E-1
6.334076740E-1,-1.472863853E-1,4.930992126E-1,1.074570417E-1,5.257253357E-1
6.414337970E-1,-1.077384651E-1,5.187826157E-1,-9.040814638E-2,5.375096391E-1
6.493988850E-1,-7.737344503E-2,5.377941132E-1,-1.866882443E-1,5.745099292E-1
6.573639730E-1,-7.400572300E-2,5.680646896E-1,-2.382891178E-1,6.204482592E-1
6.653595780E-1,-6.624561548E-2,5.900096893E-1,-2.399067879E-1,6.403555122E-1
6.733551840E-1,-7.039541006E-2,6.108074188E-1,-1.931061149E-1,6.444619370E-1
6.813813070E-1,-5.987212062E-2,6.100234985E-1,-1.217661500E-1,6.249322642E-1
6.893463940E-1,-4.643851519E-2,6.090326309E-1,-5.363214016E-2,6.131506240E-1
6.973725180E-1,-3.786236048E-3,6.389884949E-1,3.642094135E-2,6.400368092E-1
7.053681230E-1,-3.881394863E-3,6.615848541E-1,1.705862880E-1,6.832344152E-1
7.133637280E-1,-2.759176493E-2,6.287784576E-1,2.519346476E-1,6.779341568E-1
7.213898510E-1,-1.511588693E-2,6.077327728E-1,3.899219632E-1,7.222234769E-1
7.293549390E-1,-1.684415340E-2,5.912694931E-1,5.130878687E-1,7.830341627E-1
7.373810620E-1,-2.769845724E-2,5.961360931E-1,6.788440943E-1,9.038665556E-1
7.453766680E-1,1.207065582E-2,5.649986267E-1,8.167907000E-1,9.932352171E-1
7.533722730E-1,2.019077539E-3,5.362510681E-1,9.253846407E-1,1.069535422E0
7.613983960E-1,1.882669330E-2,5.051651001E-1,1.014681816E0,1.133633720E0
7.693634840E-1,1.688098907E-2,4.598217010E-1,1.121137261E0,1.211886844E0
7.773590900E-1,8.698135614E-3,4.208583832E-1,1.057406425E0,1.138115014E0
7.853241780E-1,5.385190248E-3,3.874254227E-1,9.896579981E-1,1.062803092E0
7.932892660E-1,2.315011621E-2,3.252286911E-1,9.194558859E-1,9.755556137E-1
8.013153890E-1,5.154311657E-3,2.936725616E-1,8.783364296E-1,9.261452499E-1
8.092804760E-1,-1.674860716E-2,2.304239273E-1,7.947813272E-1,8.276793221E-1
8.172455640E-1,-2.096694708E-2,2.021722794E-1,7.158395052E-1,7.441367083E-1
8.252411700E-1,-1.093626022E-3,1.775360107E-1,5.877845287E-1,6.140121199E-1
8.332367750E-1,-3.740632534E-2,1.491689682E-1,4.697546363E-1,4.942873988E-1
8.412628980E-1,-2.383035421E-2,1.316852570E-1,4.357641041E-1,4.558500270E-1
8.491974690E-1,-1.991653442E-2,1.144847870E-1,4.301742613E-1,4.455932337E-1
8.571930740E-1,-2.552533150E-2,1.215066910E-1,3.706032932E-1,3.908480772E-1
8.651886800E-1,-4.329904914E-2,9.772586823E-2,3.200920224E-1,3.374671181E-1
8.731842850E-1,-4.212898016E-2,1.029663086E-1,2.871603370E-1,3.079577419E-1
8.812104080E-1,-3.402310610E-2,1.085023880E-1,2.237542570E-1,2.509906521E-1
8.891754960E-1,-3.836613894E-2,9.991359711E-2,1.961044669E-1,2.234091526E-1
8.972016190E-1,-4.088407755E-2,1.106491089E-1,1.458323598E-1,1.875681483E-1
9.051972250E-1,-2.948766947E-2,9.522438049E-2,7.558310032E-2,1.251000014E-1
9.131623120E-1,-4.749017954E-2,9.184074402E-2,1.778090000E-2,1.049104371E-1
9.211579180E-1,-2.669966221E-2,8.413696289E-2,-1.729894280E-1,1.942092755E-1
9.291535230E-1,-5.701953173E-2,7.536602020E-2,-3.146482706E-1,3.285343181E-1
9.371186110E-1,-4.948312044E-2,7.881832123E-2,-3.653710485E-1,3.770370141E-1
9.451447340E-1,-2.598667145E-2,9.025287628E-2,-3.680614233E-1,3.798553673E-1
9.531098220E-1,-1.787191629E-2,6.363105774E-2,-3.794590831E-1,3.851720559E-1
9.611054280E-1,1.382827759E-3,5.138683319E-2,-3.673273325E-1,3.709068455E-1
9.690705160E-1,3.331005573E-3,2.203273773E-2,-3.221121430E-1,3.228819751E-1
9.770661210E-1,3.957748413E-5,6.734848022E-3,-3.411040902E-1,3.411705733E-1
9.850312090E-1,8.342146873E-3,-1.126384735E-2,-2.898443937E-1,2.901831116E-1
9.929962970E-1,2.593642473E-2,-2.250957489E-2,-2.415619493E-1,2.439908900E-1
1.001022420E0,2.161371708E-2,-3.408241272E-2,-1.827685833E-1,1.871713618E-1
1.009018025E0,6.260302663E-2,-5.315971375E-2,-5.833762884E-2,1.007391336E-1
1.017013631E0,7.947054505E-2,-6.297683716E-2,1.685100794E-2,1.027891338E-1
1.024978719E0,7.477745414E-2,-8.256721497E-2,8.964478970E-2,1.429867160E-1
1.032943807E0,8.445686102E-2,-9.510803223E-2,1.799511909E-1,2.203654471E-1
1.040969930E0,8.963948488E-2,-1.053771973E-1,2.158268690E-1,2.563607387E-1
1.048965535E0,9.489566088E-2,-1.204748154E-1,2.462761402E-1,2.901229133E-1
1.056961141E0,9.773397446E-2,-1.284160614E-1,3.218146861E-1,3.600101481E-1
