FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150901;0100;3,99168;;;
150901;0200;2,85834;;;
150901;0300;1,49167;;;
150901;0400;1,9;;;
150901;0500;1,91667;;;
150901;0600;1,05;;;
150901;0700;1,50833;;;
150901;0800;1,34167;;;
150901;0900;2,00001;;;
150901;1000;0,975001;;;
150901;1100;0,391668;;;
150901;1200;0,1;;;
150901;1300;;9,45834;;
150901;1400;0,1;;;
150901;1500;0,1;;;
150901;1600;0,1;;;
150901;1700;0,1;;;
150901;1800;0,850001;;;
150901;1900;0,466668;;;
150901;2000;0,766668;;;
150901;2100;0,566669;;;
150901;2200;0,758334;;;
150901;2300;0,433334;;;
150902;0000;0,758334;;;
150902;0100;0,1;;;
150902;0200;0,1;;;
150902;0300;0,1;;;
150902;0400;0,1;;;
150902;0500;0,1;;;
150902;0600;0,1;;;
150902;0700;0,1;;;
150902;0800;0,1;;;
150902;0900;0,1;;;
150902;1000;0,1;;;
150902;1100;0,1;;;
150902;1200;0,1;;;
150902;1300;0,1;;;
150902;1400;0,1;;;
150902;1500;0,1;;;
150902;1600;0,1;;;
150902;1700;0,1;;;
150902;1800;0,1;;;
150902;1900;0,425001;;;
150902;2000;1,04167;;;
150902;2100;0,691669;;;
150902;2200;0,150001;;;
150902;2300;0,175;;;
150903;0000;0,1;;;
150903;0100;0,1;;;
150903;0200;0,1;;;
150903;0300;0,1;;;
150903;0400;0,1;;;
150903;0500;0,1;;;
150903;0600;0,208333;;;
150903;0700;1,05;;;
150903;0800;0,666669;;;
150903;0900;0,833335;;;
150903;1000;0,325001;;;
150903;1100;0,1;;;
150903;1200;0,1;;;
150903;1300;0,1;;;
150903;1400;0,1;;;
150903;1500;0,1;;;
150903;1600;0,1;;;
150903;1700;0,1;;;
150903;1800;0,383334;;;
150903;1900;0,466668;;;
150903;2000;0,233334;;;
150903;2100;0,658335;;;
150903;2200;0,516668;;;
150903;2300;0,291668;;;
150904;0000;0,1;;;
150904;0100;0,141667;;;
150904;0200;0,1;;;
150904;0300;0,1;;;
150904;0400;0,1;;;
150904;0500;0,1;;;
150904;0600;0,1;;;
150904;0700;0,1;;;
150904;0800;0,1;;;
150904;0900;0,1;;;
150904;1000;0,1;;;
150904;1100;0,1;;;
150904;1200;0,1;;;
150904;1300;0,1;;;
150904;1400;0,1;;;
150904;1500;0,1;;;
150904;1600;0,1;;;
150904;1700;0,1;;;
150904;1800;0,108333;;;
150904;1900;0,191668;;;
150904;2000;0,766668;;;
150904;2100;0,666669;;;
150904;2200;1,525;;;
150904;2300;0,925001;;;
150905;0000;0,375001;;;
150905;0100;0,200001;;;
150905;0200;0,1;;;
150905;0300;0,258334;;;
150905;0400;0,1;;;
150905;0500;0,1;;;
150905;0600;0,1;;;
150905;0700;0,1;;;
150905;0800;0,1;;;
150905;0900;0,1;;;
150905;1000;0,1;;;
150905;1100;0,1;;;
150905;1200;0,1;;;
150905;1300;0,1;;;
150905;1400;0,1;;;
150905;1500;0,1;;;
150905;1600;0,1;;;
150905;1700;0,1;;;
150905;1800;0,125;;;
150905;1900;0,308334;;;
150905;2000;0,491668;;;
150905;2100;0,266668;;;
150905;2200;0,141667;;;
150905;2300;0,1;;;
150906;0000;0,1;;;
150906;0100;0,1;;;
150906;0200;0,1;;;
150906;0300;0,1;;;
150906;0400;0,1;;;
