FECHA,DATO
220530;0100;;1,22;;
220530;0200;;0,8;;
220530;0300;;0,72;;
220530;0400;;0,96;;
220530;0500;;0,9;;
220530;0600;;0,99;;
220530;0700;;1,64;;
220530;0800;;1,97;;
220530;0900;;0,82;;
220530;1000;;0,62;;
220530;1100;;0,71;;
220530;1200;;0,36;;
220530;1300;;;;,
220530;1400;;;;,
220530;1500;;;;,
220530;1600;;;;,
220530;1700;;;;,
220530;1800;;2,15;;
220530;1900;;2,18;;
220530;2000;;3,84;;
220530;2100;;5;;,
220530;2200;;4,6;;
220530;2300;;5,95;;
220531;0000;;3,73;;
220531;0100;;2,91;;
220531;0200;;1,89;;
220531;0300;;1,27;;
220531;0400;;1,11;;
220531;0500;;1,37;;
220531;0600;;0,88;;
220531;0700;;1,14;;
220531;0800;;1,24;;
220531;0900;;1,17;;
220531;1000;;1,15;;
220531;1100;;1,15;;
220531;1200;;0,72;;
220531;1300;;0,9;;
220531;1400;;1,02;;
220531;1500;;1,1;;
220531;1600;;1,34;;
220531;1700;;1,63;;
220531;1800;;1,86;;
220531;1900;;1,82;;
220531;2000;;1,84;;
220531;2100;;2,08;;
220531;2200;;2,02;;
220531;2300;;2,32;;
220601;0000;;2,22;;
220601;0100;;2,05;;
220601;0200;;2,33;;
220601;0300;;2,55;;
220601;0400;;2,71;;
220601;0500;;1,88;;
220601;0600;;2,51;;
220601;0700;;2,73;;
220601;0800;;4,54;;
220601;0900;;3,52;;
220601;1000;;2,67;;
220601;1100;;1,79;;
220601;1200;;1,19;;
220601;1300;;0,94;;
220601;1400;;;;,
220601;1500;;0,95;;
220601;1600;;1,06;;
220601;1700;;2,5;;
220601;1800;;5,97;;
220601;1900;;4,22;;
220601;2000;;6,4;;
220601;2100;;4,77;;
220601;2200;;3,79;;
220601;2300;;3,67;;
220602;0000;;7,11;;
220602;0100;;5,31;;
220602;0200;;2,72;;
220602;0300;;5,66;;
220602;0400;;4,3;;
220602;0500;;3,33;;
220602;0600;;1,66;;
220602;0700;;1,59;;
220602;0800;;2,62;;
220602;0900;;2,83;;
220602;1000;;2,83;;
220602;1100;;1,39;;
220602;1200;;1,82;;
220602;1300;;1,65;;
220602;1400;;1,56;;
220602;1500;;1,75;;
220602;1600;;2,46;;
220602;1700;;3,37;;
220602;1800;;3,07;;
220602;1900;;4;;,
220602;2000;;3,47;;
220602;2100;;4,26;;
220602;2200;;3,06;;
220602;2300;;5,57;;
220603;0000;;4,47;;
220603;0100;;3,03;;
220603;0200;;1,71;;
220603;0300;;1,17;;
220603;0400;;0,95;;
220603;0500;;1,97;;
220603;0600;;2,89;;
220603;0700;;2,55;;
220603;0800;;5,26;;
220603;0900;;6,22;;
220603;1000;;3,5;;
220603;1100;;1,58;;
220603;1200;;0,9;;
220603;1300;;0,81;;
220603;1400;;1,04;;
220603;1500;;0,93;;
220603;1600;;1,35;;
220603;1700;;1,64;;
220603;1800;;2,13;;
220603;1900;;2,01;;
220603;2000;;2,39;;
220603;2100;;2,01;;
220603;2200;;4,47;;
220603;2300;;3,29;;
220604;0000;;0,89;;
220604;0100;;0,95;;
220604;0200;;0,63;;
220604;0300;;1,14;;
220604;0400;;1,11;;
220604;0500;;0,56;;
220604;0600;;0,65;;
220604;0700;;0,56;;
220604;0800;;;;,
220604;0900;;;;,
220604;1000;;0,48;;
220604;1100;;0,32;;
220604;1200;;0,33;;
220604;1300;;0,29;;
220604;1400;;0,3;;
220604;1500;;0,35;;
220604;1600;;0,5;;
220604;1700;;1,03;;
220604;1800;;1,09;;
220604;1900;;0,75;;
220604;2000;;1,02;;
220604;2100;;1,21;;
220604;2200;;2,3;;
220604;2300;;3,07;;
220605;0000;;3,36;;
220605;0100;;2,12;;
220605;0200;;1,46;;
220605;0300;;0,75;;
220605;0400;;1,55;;
220605;0500;;0,67;;
220605;0600;;0,4;;
220605;0700;;0,31;;
220605;0800;;0,3;;
220605;0900;;0,38;;
220605;1000;;0,51;;
220605;1100;;0,41;;
220605;1200;;0,46;;
220605;1300;;0,53;;
220605;1400;;0,51;;
220605;1500;;0,54;;
220605;1600;;0,92;;
220605;1700;;0,75;;
220605;1800;;0,7;;
220605;1900;;0,77;;
220605;2000;;0,93;;
220605;2100;;1,01;;
220605;2200;;1,43;;
220605;2300;;1,09;;
220606;0000;;0,95;;
220606;0100;;0,64;;
220606;0200;;0,41;;
220606;0300;;0,31;;
220606;0400;;0,38;;
220606;0500;;0,34;;
220606;0600;;0,35;;
220606;0700;;0,86;;
220606;0800;;0,67;;
220606;0900;;0,42;;
220606;1000;;0,39;;
220606;1100;;0,46;;
220606;1200;;0,4;;
220606;1300;;0,37;;
220606;1400;;0,4;;
220606;1500;;0,49;;
220606;1600;;0,8;;
220606;1700;;1,45;;
220606;1800;;2,37;;
220606;1900;;3,64;;
220606;2000;;4,2;;
220606;2100;;2,26;;
220606;2200;;2,2;;
220606;2300;;1,23;;
220607;0000;;1,48;;
220607;0100;;1,26;;
220607;0200;;1,54;;
220607;0300;;0,52;;
220607;0400;;0,49;;
220607;0500;;0,73;;
220607;0600;;0,42;;
220607;0700;;0,9;;
220607;0800;;1,73;;
220607;0900;;1,21;;
220607;1000;;0,52;;
220607;1100;;0,44;;
220607;1200;;0,6;;
220607;1300;;0,56;;
220607;1400;;0,41;;
220607;1500;;0,44;;
220607;1600;;0,68;;
220607;1700;;0,68;;
220607;1800;;0,89;;
220607;1900;;1,16;;
220607;2000;;0,75;;
220607;2100;;0,97;;
220607;2200;;0,92;;
220607;2300;;0,81;;
220608;0000;;1,24;;
220608;0100;;1,82;;
220608;0200;;1,09;;
220608;0300;;0,65;;
220608;0400;;0,28;;
220608;0500;;0,4;;
220608;0600;;0,52;;
220608;0700;;0,86;;
220608;0800;;1,24;;
220608;0900;;1,38;;
220608;1000;;1,33;;
220608;1100;;0,66;;
220608;1200;;0,57;;
220608;1300;;0,66;;
220608;1400;;0,74;;
220608;1500;;;;,
220608;1600;;1;;,
220608;1700;;1,99;;
220608;1800;;1,76;;
220608;1900;;2,45;;
220608;2000;;1,2;;
220608;2100;;1,02;;
220608;2200;;0,82;;
220608;2300;;2,34;;
220609;0000;;1,75;;
220609;0100;;1,21;;
220609;0200;;0,81;;
220609;0300;;0,49;;
220609;0400;;0,53;;
220609;0500;;0,37;;
220609;0600;;0,58;;
220609;0700;;1,07;;
220609;0800;;1,5;;
220609;0900;;0,77;;
220609;1000;;0,58;;
220609;1100;;0,49;;
220609;1200;;0,47;;
220609;1300;;0,47;;
220609;1400;;0,42;;
220609;1500;;0,44;;
220609;1600;;0,67;;
220609;1700;;1,59;;
220609;1800;;2,02;;
220609;1900;;1,54;;
220609;2000;;1,58;;
220609;2100;;1,89;;
220609;2200;;1,47;;
220609;2300;;1,27;;
220610;0000;;1,08;;
220610;0100;;0,91;;
220610;0200;;0,91;;
220610;0300;;0,47;;
220610;0400;;0,42;;
220610;0500;;0,34;;
220610;0600;;0,43;;
220610;0700;;0,43;;
220610;0800;;0,67;;
220610;0900;;0,7;;
220610;1000;;0,49;;
220610;1100;;0,33;;
220610;1200;;0,33;;
220610;1300;;0,37;;
220610;1400;;0,44;;
220610;1500;;0,41;;
220610;1600;;0,49;;
220610;1700;;0,89;;
220610;1800;;1,24;;
220610;1900;;1,01;;
220610;2000;;2,68;;
220610;2100;;3,72;;
220610;2200;;3,87;;
220610;2300;;4,6;;
220611;0000;;4,48;;
220611;0100;;3,07;;
220611;0200;;4,22;;
220611;0300;;6,01;;
220611;0400;;5,58;;
220611;0500;;3,45;;
220611;0600;;3,31;;
220611;0700;;3,12;;
220611;0800;;4,32;;
220611;0900;;3,07;;
220611;1000;;1,84;;
220611;1100;;2,68;;
220611;1200;;1,67;;
220611;1300;;1,46;;
220611;1400;;1,62;;
220611;1500;;1,78;;
220611;1600;;2,07;;
220611;1700;;4,63;;
220611;1800;;8,25;;
220611;1900;;7,79;;
220611;2000;;6,88;;
220611;2100;;9,85;;
220611;2200;;12,55;;
220611;2300;;9,44;;
220612;0000;;10,14;;
220612;0100;;7,71;;
220612;0200;;5,39;;
220612;0300;;4,45;;
220612;0400;;5,42;;
220612;0500;;1,74;;
220612;0600;;1,33;;
220612;0700;;1,52;;
220612;0800;;1,61;;
220612;0900;;2,1;;
220612;1000;;1,93;;
220612;1100;;1,35;;
220612;1200;;1,16;;
220612;1300;;2,9;;
220612;1400;;2,72;;
220612;1500;;2,34;;
