FECHA,,PIB (Total)
2010,Ene - Mar,27890
2010,Feb - Abr,27890
2010,Mar - May,27890
2010,Abr - Jun,29774
2010,May -Jul,29775
2010,Jun - Ago,29776
2010,Jul - Sep,29082
2010,Ago - Oct,29083
2010,Sep - Nov,29084
2010,Oct - Dic,29084
2010,Nov - Ene,30471
2011,Dic - Feb,30472
2011,Ene - Mar,30473
2011,Feb - Abr,30474
2011,Mar - May,30474
2011,Abr - Jun,31679
2011,May -Jul,31680
2011,Jun - Ago,31681
2011,Jul - Sep,31682
2011,Ago - Oct,31682
2011,Sep - Nov,30310
2011,Oct - Dic,30311
2011,Nov - Ene,30312
2012,Dic - Feb,30894
2012,Ene - Mar,32030
2012,Feb - Abr,32030
2012,Mar - May,32030
2012,Abr - Jun,33423
2012,May -Jul,33423
2012,Jun - Ago,33423
2012,Jul - Sep,32012
2012,Ago - Oct,32012
2012,Sep - Nov,32012
2012,Oct - Dic,32012
2012,Nov - Ene,32012
2013,Dic - Feb,32012
2013,Ene - Mar,32012
2013,Feb - Abr,32012
2013,Mar - May,32012
2013,Abr - Jun,34830
2013,May -Jul,34830
2013,Jun - Ago,34830
2013,Jul - Sep,33419
2013,Ago - Oct,33419
2013,Sep - Nov,33419
2013,Oct - Dic,36437
2013,Nov - Ene,36437
2014,Dic - Feb,36437
2014,Ene - Mar,34130
2014,Feb - Abr,34130
2014,Mar - May,34130
2014,Abr - Jun,34130
2014,May -Jul,34130
2014,Jun - Ago,35338
2014,Jul - Sep,35338
2014,Ago - Oct,35338
2014,Sep - Nov,35338
2014,Oct - Dic,37087
2014,Nov - Ene,37087
2015,Dic - Feb,37087
2015,Ene - Mar,34905
2015,Feb - Abr,34905
2015,Mar - May,34905
2015,Abr - Jun,36189
2015,May -Jul,36189
2015,Jun - Ago,36189
2015,Jul - Sep,34530
2015,Ago - Oct,34530
2015,Sep - Nov,34530
2015,Oct - Dic,37921
2015,Nov - Ene,37921
2016,Dic - Feb,37921
2016,Ene - Mar,35941
2016,Feb - Abr,35941
2016,Mar - May,35941
2016,Abr - Jun,36647
2016,May -Jul,36647
2016,Jun - Ago,36647
2016,Jul - Sep,35144
2016,Ago - Oct,35144
2016,Sep - Nov,35144
2016,Oct - Dic,38268
2016,Nov - Ene,38268
2017,Dic - Feb,38268
2017,Ene - Mar,35802
2017,Feb - Abr,35802
2017,Mar - May,35802
2017,Abr - Jun,36797
2017,May -Jul,36797
2017,Jun - Ago,36797
2017,Jul - Sep,36813
2017,Ago - Oct,36813
2017,Sep - Nov,36813
2017,Oct - Dic,39318
2017,Nov - Ene,39318
2018,Dic - Feb,39318
2018,Ene - Mar,37401
2018,Feb - Abr,37401
2018,Mar - May,37401
2018,Abr - Jun,38608
2018,May -Jul,38608
2018,Jun - Ago,38608
2018,Jul - Sep,36672
2018,Ago - Oct,36672
2018,Sep - Nov,36672
2018,Oct - Dic,40536
2018,Nov - Ene,40536
2019,Dic - Feb,40536
2019,Ene - Mar,37818
2019,Feb - Abr,37818
2019,Mar - May,37818
2019,Abr - Jun,39177
2019,May -Jul,39177
2019,Jun - Ago,39177
2019,Jul - Sep,37920
2019,Ago - Oct,37920
2019,Sep - Nov,37920
2019,Oct - Dic,39745
2019,Nov - Ene,39745
